minute,player_id,player,receiver_id,receiver,x,y
0,318750.0,Stephy Mavididi,433572.0,Bilal El Khannouss,55.2,97.5
1,416970.0,Victor Kristiansen,433572.0,Bilal El Khannouss,49.9,100.0
1,433572.0,Bilal El Khannouss,416970.0,Victor Kristiansen,56.7,92.3
1,87182.0,Jannik Vestergaard,416970.0,Victor Kristiansen,22.2,83.3
2,301441.0,James Justin,364215.0,Oliver Skipp,16.6,0.0
2,364215.0,Oliver Skipp,301441.0,James Justin,26.2,12.9
2,301441.0,James Justin,97710.0,Conor Coady,15.6,3.4
3,416970.0,Victor Kristiansen,318750.0,Stephy Mavididi,53.1,100.0
3,67491.0,Jordan Ayew,301441.0,James Justin,35.3,7.0
3,301441.0,James Justin,97710.0,Conor Coady,27.6,4.0
3,97710.0,Conor Coady,99165.0,Danny Ward,22.4,13.5
3,99165.0,Danny Ward,416970.0,Victor Kristiansen,4.8,42.4
3,416970.0,Victor Kristiansen,87182.0,Jannik Vestergaard,15.4,73.2
3,87182.0,Jannik Vestergaard,345664.0,Boubakary Soumaré,22.4,62.1
3,345664.0,Boubakary Soumaré,416970.0,Victor Kristiansen,26.5,86.8
4,416970.0,Victor Kristiansen,87182.0,Jannik Vestergaard,26.7,94.8
4,87182.0,Jannik Vestergaard,345664.0,Boubakary Soumaré,18.3,77.3
4,345664.0,Boubakary Soumaré,87182.0,Jannik Vestergaard,28.5,75.9
4,87182.0,Jannik Vestergaard,364215.0,Oliver Skipp,20.0,71.1
4,364215.0,Oliver Skipp,99165.0,Danny Ward,24.3,60.3
4,99165.0,Danny Ward,87182.0,Jannik Vestergaard,12.2,47.0
4,87182.0,Jannik Vestergaard,99165.0,Danny Ward,17.8,58.7
4,99165.0,Danny Ward,301441.0,James Justin,10.2,33.9
4,318750.0,Stephy Mavididi,416970.0,Victor Kristiansen,62.4,71.4
4,416970.0,Victor Kristiansen,433572.0,Bilal El Khannouss,53.1,70.5
4,87182.0,Jannik Vestergaard,433572.0,Bilal El Khannouss,42.6,64.5
5,433572.0,Bilal El Khannouss,318750.0,Stephy Mavididi,57.0,90.2
5,318750.0,Stephy Mavididi,433572.0,Bilal El Khannouss,72.8,91.4
5,433572.0,Bilal El Khannouss,345664.0,Boubakary Soumaré,72.8,81.2
5,345664.0,Boubakary Soumaré,416970.0,Victor Kristiansen,65.3,94.1
5,416970.0,Victor Kristiansen,87182.0,Jannik Vestergaard,46.9,80.9
5,87182.0,Jannik Vestergaard,345664.0,Boubakary Soumaré,46.3,59.1
5,345664.0,Boubakary Soumaré,318750.0,Stephy Mavididi,55.6,89.7
5,318750.0,Stephy Mavididi,345664.0,Boubakary Soumaré,68.4,95.4
5,345664.0,Boubakary Soumaré,87182.0,Jannik Vestergaard,54.2,73.9
5,87182.0,Jannik Vestergaard,97710.0,Conor Coady,48.0,46.0
5,97710.0,Conor Coady,301441.0,James Justin,62.9,17.0
5,301441.0,James Justin,97710.0,Conor Coady,74.4,4.1
5,97710.0,Conor Coady,87182.0,Jannik Vestergaard,65.5,9.7
5,87182.0,Jannik Vestergaard,345664.0,Boubakary Soumaré,55.2,34.5
5,345664.0,Boubakary Soumaré,87182.0,Jannik Vestergaard,64.8,41.5
5,87182.0,Jannik Vestergaard,416970.0,Victor Kristiansen,55.8,35.1
5,416970.0,Victor Kristiansen,433572.0,Bilal El Khannouss,56.2,71.4
5,433572.0,Bilal El Khannouss,345664.0,Boubakary Soumaré,68.9,85.3
5,345664.0,Boubakary Soumaré,364215.0,Oliver Skipp,67.7,66.0
5,364215.0,Oliver Skipp,67491.0,Jordan Ayew,61.7,47.5
5,67491.0,Jordan Ayew,364215.0,Oliver Skipp,73.5,38.9
5,364215.0,Oliver Skipp,301441.0,James Justin,63.6,19.1
5,364215.0,Oliver Skipp,87182.0,Jannik Vestergaard,67.6,23.3
6,87182.0,Jannik Vestergaard,97710.0,Conor Coady,53.7,38.2
6,97710.0,Conor Coady,87182.0,Jannik Vestergaard,58.2,24.1
6,87182.0,Jannik Vestergaard,364215.0,Oliver Skipp,55.0,41.0
7,416970.0,Victor Kristiansen,433572.0,Bilal El Khannouss,70.1,100.0
7,433572.0,Bilal El Khannouss,416970.0,Victor Kristiansen,62.6,96.6
7,416970.0,Victor Kristiansen,433572.0,Bilal El Khannouss,70.0,97.7
7,433572.0,Bilal El Khannouss,97710.0,Conor Coady,61.8,95.3
7,97710.0,Conor Coady,301441.0,James Justin,53.2,40.9
7,301441.0,James Justin,97710.0,Conor Coady,69.4,16.7
7,97710.0,Conor Coady,87182.0,Jannik Vestergaard,53.5,28.3
7,87182.0,Jannik Vestergaard,99165.0,Danny Ward,46.6,44.0
7,99165.0,Danny Ward,416970.0,Victor Kristiansen,22.8,51.6
7,416970.0,Victor Kristiansen,433572.0,Bilal El Khannouss,27.1,77.0
7,416970.0,Victor Kristiansen,364215.0,Oliver Skipp,57.6,77.0
8,364215.0,Oliver Skipp,97710.0,Conor Coady,61.1,64.5
8,97710.0,Conor Coady,87182.0,Jannik Vestergaard,48.5,44.5
8,87182.0,Jannik Vestergaard,345664.0,Boubakary Soumaré,45.7,56.9
